Tweet ID,Username,Content,Created At,User Location,Filtered Location
1222301949162414080,unslic3dBr3ad,"Let's see, the last election told us:

2/3 of Canadians support resource development (TMX).

2/3 of Canadians support action on climate change (broad-based carbon pricing).

Some might call both of those positions conservative AND mushy middle politics.",2020-01-28 23:34:28+00:00,"Delft, Netherlands.",Netherlands
1222301649273860098,Soisialta,#WEF20 via @akwyz A $39.3 billion U.K. pension fund has threatened to fire managers that fail to curb their exposure to climate change https://t.co/UjCviZk8HA https://t.co/PUZvMgnPOp,2020-01-28 23:33:17+00:00,"Cork, Ireland",Ireland
1222301126101356544,WoodlandPK8,"Our second grade students continued their @RootsandShoots project by speaking to an expert, Tim, a fire behavioral analyst in Australia, about the wildfires in Australia and how they can help. They are now focused on raising awareness about climate change both locally &amp; globally! https://t.co/ZC21MUGKyV",2020-01-28 23:31:12+00:00,"Portola Valley, CA",Portugal
1222300406434484225,TheoRettich,@BernardoVerda @miskatonicmason @flyonthewall182 @PeterJrgen12 @AtomsksSanakan @Kenneth72712993 @GillesnFio @Ceist8 @3GHtweets @HardFastAndFree @Vieux_Rhone @PeterDClack @MedBennett @DavidMichaelRi8 @fcmfcs2019 @MonkeyMyBack @waitwha35825253 @Bart07154932 @trippfunderburk @caerbannog666 @jimdtweet @swcrisis @MartinJBern @pkpeninsula @RushhourP @NikolovScience @RoyPentland @tracemetalclean @dan613 @GWLarsson @SylviaD32911201 @sueytonius @PeterMGeany @PolAnimalAus @glaser_holly @AndrewFleische7 @VWatcher56 @insulrpeninsula @thinks_about_it @Zane1968 @NoelTurner194 @mentalmal1 @d_e_mol @RetributiaNorb @SA_TEXROD @chrismothman1 @LynnRahn1 @jch_of @ATomalty @DavidMo66984563 And science was never about majorities/minoritys. Science is not the townhall where you vote about something. In the above cases interdisciplinary critique was the way to break out from this. But you folks are criticizing Physicists because they say something about climatechange,2020-01-28 23:28:20+00:00,Netherlands,Netherlands
1222300218902880256,dornerk,"@MartynHobbins An interesting supposition.  I have never felt so concerned about the world as I do now; though it's a mixture of climate change, Brexit, Trump and a Tory Govt.",2020-01-28 23:27:36+00:00,Vienna,Austria
1222054957727305728,philip_ciwf,"UK’s love of chicken ‘fuelling mass forest loss in South America’ 
UK imports more than 3 million tonnes of soya/year from Argentina, Brazil and Paraguay, official figures show, the bulk of it to feed cruelly #factoryfarmed animals, mostly chickens @ciwf
https://t.co/xCvdzCLBU1",2020-01-28 07:13:01+00:00,"CIWF International, offices in 12 countries, inc UK, USA, Brussels & China.",Belgium
1222298320573550593,cortical_io,"Artificial intelligence helps experts forecast icebergs https://t.co/O7wib1AdjW via @physorg_com

#AI #ClimateChange #ArtificialIntelligence #MachineIntelligence https://t.co/8e6jleRypK",2020-01-28 23:20:03+00:00,"Vienna, Austria",Austria
1222297883317325830,wirtzbill,"@GreenpeaceEU How much money has Greenpeace burnt on preventing agro-tech innovation that is essential in facing climate change, such as GMOs?",2020-01-28 23:18:19+00:00,Luxembourg,Luxembourg
1222296080429305856,meteomara,"#Climate #News: Driven by Earth's orbit, climate changes in Africa may have aided human migration https://t.co/Yyd1wz5rDn",2020-01-28 23:11:09+00:00,"Prenzlauer Berg, Berlin, DE",Germany
1222294574321807371,alanphurley,"There I am, being annoyed about #ClimateChange.
What a (greenhouse) gas night; thanks for having me @BrightClubIRL",2020-01-28 23:05:10+00:00,"Not Cork, Ireland",Ireland
1222274264348463104,BrightClubIRL,"Our open call comedians have brought a brilliant night of comedy about climate solutions to @whelanslive, capped off by our headliner @alanphurley! https://t.co/ANYgB9tmxQ",2020-01-28 21:44:28+00:00,"Dublin, Ireland",Ireland
